CodigoExterno,Estado,CodigoEstado,Organismo,Sector,Region,Tipo,Rubro,Moneda,MontoEstimado,NumeroOferentes,CantidadReclamos,FechaCierre,Periodo,MontoAdjudicado
707423-25-LP26,Adjudicada,8,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Otros,Región de la Araucanía ,LP,"ROPA, MALETAS Y PRODUCTOS DE ASEO PERSONAL",CLP,183640000.0,4.0,30.0,2026-03-31,2026-03,121780900.0
707423-24-CO26,Adjudicada,8,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Otros,Región de la Araucanía ,CO,"SERVICIOS DE TRANSPORTE, ALMACENAJE Y CORREO",CLP,,1.0,30.0,2026-03-18,2026-03,
707423-23-LR26,Adjudicada,8,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Otros,Región de la Araucanía ,LR,SERVICIOS DE CONSTRUCCIÓN Y MANTENIMIENTO,CLP,523833924.0,6.0,30.0,2026-04-13,2026-03,481376594.0
707422-9-LE26,Adjudicada,8,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Otros,Región del Biobío ,LE,"EQUIPOS, ACCESORIOS Y SUMINISTROS DE OFICINA",CLP,,3.0,30.0,2026-04-13,2026-03,18244200.0
707420-9-LP26,Adjudicada,8,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Otros,Región del Maule ,LP,"ROPA, MALETAS Y PRODUCTOS DE ASEO PERSONAL",CLP,145110000.0,4.0,30.0,2026-04-23,2026-03,109972650.0
734-6-LE26,Desierta (o art. 3 ó 9 Ley 19.886),7,SERVICIO DE SALUD AYSEN CARLOS IBANEZ DEL CAMPO,Salud,Región Aysén del General Carlos Ibáñez del Campo,LE,"SERVICIOS PROFESIONALES, ADMINISTRATIVOS Y CONSULTORÍAS DE GESTIÓN EMPRESARIAL",CLP,19195080.0,3.0,234.0,2026-03-23,2026-03,
635-45-LE26,Adjudicada,8,SERVICIO DE SALUD DE ARICA Y PARINACOTA,Salud,Región de Arica y Parinacota,LE,"SERVICIOS DE TRANSPORTE, ALMACENAJE Y CORREO",CLP,27465000.0,1.0,1125.0,2026-03-23,2026-03,13000.0
635-43-L126,Adjudicada,8,SERVICIO DE SALUD DE ARICA Y PARINACOTA,Salud,Región Metropolitana de Santiago,L1,"ARTÍCULOS PARA ESTRUCTURAS, OBRAS Y CONSTRUCCIONES",CLP,2777952.0,8.0,1125.0,2026-03-20,2026-03,1879308.0
619-4-LE26,Adjudicada,8,SUBSECRETARIA DEL MINISTERIO DE HACIENDA,"Gob. Central, Universidades",Región Metropolitana de Santiago,LE,SERVICIOS DE CONSTRUCCIÓN Y MANTENIMIENTO,CLP,,1.0,11.0,2026-03-23,2026-03,45252928.0
618775-1-LE26,Adjudicada,8,SUBSECRETARIA DEL MEDIO AMBIENTE,"Gob. Central, Universidades",Región de Antofagasta ,LE,SERVICIOS MEDIOAMBIENTALES,CLP,,1.0,335.0,2026-04-09,2026-03,24750000.0
618641-9-L126,Adjudicada,8,I MUNICIPALIDAD DE CASABLANCA,Municipalidades,Región de Valparaíso ,L1,"SERVICIOS EDITORIALES, DE DISEÑO, PUBLICIDAD, GRÁFICOS Y ARTISTAS",CLP,1000000.0,5.0,220.0,2026-03-30,2026-03,590000.0
618641-8-LE26,Adjudicada,8,I MUNICIPALIDAD DE CASABLANCA,Municipalidades,Región de Valparaíso ,LE,"SERVICIOS EDITORIALES, DE DISEÑO, PUBLICIDAD, GRÁFICOS Y ARTISTAS",CLP,,2.0,220.0,2026-03-23,2026-03,4201680.0
618641-6-LE26,Adjudicada,8,I MUNICIPALIDAD DE CASABLANCA,Municipalidades,Región de Valparaíso ,LE,"SERVICIOS PROFESIONALES, ADMINISTRATIVOS Y CONSULTORÍAS DE GESTIÓN EMPRESARIAL",CLP,9000000.0,17.0,220.0,2026-03-24,2026-03,7000000.0
618-5-LR26,Adjudicada,8,CORPORACION DE FOMENTO DE LA PRODUCCION,"Gob. Central, Universidades",Región Metropolitana de Santiago,LR,SERVICIOS DE CONSTRUCCIÓN Y MANTENIMIENTO,CLP,,5.0,43.0,2026-04-09,2026-03,1.0
617807-31-LP26,Adjudicada,8,SERV NAC SALUD HOSPITAL DE LOS ANDES,Salud,Región de Valparaíso ,LP,EQUIPAMIENTO PARA MANEJO Y ESTIBA DE MATERIALES,CLP,,4.0,1337.0,2026-04-23,2026-03,200618400.0
617807-30-LE26,Adjudicada,8,SERV NAC SALUD HOSPITAL DE LOS ANDES,Salud,Región de Valparaíso ,LE,"SERVICIOS AGRÍCOLAS, PESQUEROS, FORESTALES Y RELACIONADOS CON LA FAUNA",CLP,10000000.0,4.0,1337.0,2026-04-09,2026-03,4957983.0
617807-29-LE26,Adjudicada,8,SERV NAC SALUD HOSPITAL DE LOS ANDES,Salud,Región de Valparaíso ,LE,"SERVICIOS DE TRANSPORTE, ALMACENAJE Y CORREO",CLP,,3.0,1337.0,2026-04-09,2026-03,20400000.0
617807-26-LP26,Desierta (o art. 3 ó 9 Ley 19.886),7,SERV NAC SALUD HOSPITAL DE LOS ANDES,Salud,Región de Valparaíso ,LP,"SALUD, SERVICIOS SANITARIOS Y ALIMENTACIÓN",CLP,,2.0,1337.0,2026-04-13,2026-03,
617807-25-LR26,Adjudicada,8,SERV NAC SALUD HOSPITAL DE LOS ANDES,Salud,Región de Valparaíso ,LR,"SERVICIOS PROFESIONALES, ADMINISTRATIVOS Y CONSULTORÍAS DE GESTIÓN EMPRESARIAL",CLP,,3.0,1337.0,2026-04-20,2026-03,367269032.0
617807-23-LP26,Adjudicada,8,SERV NAC SALUD HOSPITAL DE LOS ANDES,Salud,Región de Valparaíso ,LP,EQUIPAMIENTO PARA LABORATORIOS,CLP,348430000.0,1.0,1337.0,2026-04-06,2026-03,
614795-2-LE26,Adjudicada,8,SUBSECRETARIA DEL MEDIO AMBIENTE,"Gob. Central, Universidades",Región de Valparaíso ,LE,SERVICIOS MEDIOAMBIENTALES,CLP,,2.0,335.0,2026-04-10,2026-03,14920000.0
614795-1-LE26,Adjudicada,8,SUBSECRETARIA DEL MEDIO AMBIENTE,"Gob. Central, Universidades",Región de Valparaíso ,LE,SERVICIOS MEDIOAMBIENTALES,CLP,20000000.0,1.0,335.0,2026-03-16,2026-03,15800000.0
612-2-LR26,Adjudicada,8,SERVICIO AGRICOLA Y GANADERO,"Gob. Central, Universidades",Región Metropolitana de Santiago,LR,"SERVICIOS FINANCIEROS, PENSIONES Y SEGUROS",CLP,,2.0,212.0,2026-04-09,2026-03,1.0
611669-2-CO26,Desierta (o art. 3 ó 9 Ley 19.886),7,Superintendencia del Medio Ambiente,"Gob. Central, Universidades",Región Metropolitana de Santiago,CO,SERVICIOS DE LIMPIEZA INDUSTRIAL,CLP,12718333.0,1.0,10.0,2026-04-10,2026-03,
